scope_id,assembly_step,boolean_engine,min_gap_mm,interference_count,interference_volume_mm3,pass,reviewer,evidence_class,boolean_report_artifact,notes
screen_stack_to_orange_rails,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"screen glass, adhesive, and display stack must not clash with molded orange rails or ledges"
routed_pcb_components_to_orange_enclosure,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"routed board components must clear enclosure ribs, bosses, snaps, and side rails"
usb_c_port_saddle_aperture_and_gaskets,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"USB-C shell, aperture, saddle, drip lip, and gaskets must remain interference-free"
side_buttons_switches_gaskets_labyrinth,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"button caps, gaskets, rails, and switch keepouts must not bind or preload"
front_camera_earpiece_under_glass_stack,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,under-glass camera and handset acoustic path must clear cover glass and each other
rear_camera_window_baffle_adhesive_stack,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"rear camera module, cover window, adhesive, and baffles must remain interference-free"
battery_pouch_pcb_flex_haptic,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"battery, split interconnect, haptic, and PCB islands must not pinch or overlap"
bottom_audio_microphone_speaker_meshes,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"speaker, microphone, meshes, and acoustic ports must not clash with USB or enclosure plastic"
rf_shields_antennas_plastic_windows,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"RF shields, feed regions, and antenna plastic windows must preserve keepouts"
molded_retention_boss_snap_service_features,mechanical/e1-phone/out/e1-phone-solid-assembly.step,OpenCascade B-rep boolean required,,,,,,,,"screw bosses, snap hooks, service tray, and service label recess must not intrude into assemblies"
